ResourceID,geom,SITEID,SITENAME
298bb8e3-50fc-448e-9eb2-0a2988130c2a,POINT (-81.941473625999947 29.820778699000073),CL01327,Gonzalez Water Tower
c6008261-3f63-40a0-8a05-d5f4ba5bd585,POINT (-81.950154216999977 29.830818514000043),CL01328,Sandhill Restroom
a3f59d7a-dbd3-40ff-b175-29d2df3a7393,POINT (-81.949244150999959 29.829458561000024),CL01329,Turkey Oak Restroom
ea913df8-6d12-4e18-a098-255ff4f7415b,POINT (-81.953184293999982 29.828078553000068),CL01330,Picnic Shelter
aa7c9ca8-8288-449e-ab5b-7fc26893946c,POINT (-81.952544235999937 29.827968551000026),CL01331,Picnic Shelter
0c1f9aa1-2209-4a66-a4d8-d2ec6ae21ca3,POINT (-81.948924074999979 29.827238580000028),CL01332,Picnic Shelter
9257206e-5487-4546-b058-b2fe6437c68c,POINT (-81.948494082999957 29.827368585000045),CL01333,Picnic Shelter
5363388a-9f87-4b73-a0ac-944b2b791a5e,POINT (-81.941213783999956 29.829068567000036),CL01334,Picnic Shelter
a38897f7-b133-499e-a597-49672f997b2c,POINT (-81.954744620999975 29.840858338000032),CL01335,Ravine Stairway
e3893fe9-0e37-4d60-a917-852ecd6c0546,POINT (-82.581339685999978 29.914920807000044),CO00385,TOWER HOUSE
abb1470d-8395-483e-8c64-4008af939487,POINT (-82.580280373999983 29.914583226000047),CO00386,CYPRESS LOG PAVILION
47154706-b238-4bb8-bd94-d307b6b4459f,POINT (-82.579921793999972 29.913955748000035),CO00387,RECREATION HALL
00cdb711-e814-4c40-951b-f613d512bc1d,POINT (-82.580799198999955 29.914068263000047),CO00388,STONE STORAGE BUILDING
048f9b7d-74c0-43be-80b2-24e181a5cb00,POINT (-82.583126230999937 29.915885857000035),CO00389,SMOKEHOUSE
8e7bae8e-5d3e-46a7-85d8-83c93ecf6d51,POINT (-82.583423808999953 29.915996497000037),CO00390,BARN
2f02955a-df63-468a-a97d-112771b9bdab,POINT (-82.581089108999947 29.914875018000032),CO00391,INFIRMARY
c076b159-992c-40e1-9e6d-fb770e4cf316,POINT (-82.608722305999947 29.854692827000065),CO00753,SERVICE STATION
69386a65-02c2-4cf9-a419-17a08ae050d7,POINT (-82.697798966999983 30.066978402000075),CO01033,McCormick Estate House
25953bfa-5254-4ccb-9eda-c4de797696e7,POINT (-82.698018975999958 30.066408425000077),CO01085,McCormick Life Estate Pole Barn
32899ccb-3998-4476-9451-b6d2363ca632,POINT (-82.697628947999988 30.066378433000068),CO01086,McCormick Life Estate Tobacco Barn
da4a1c6e-0172-4e50-8c8b-f11e20a7e5ce,POINT (-82.68915515599997 30.329706416000079),CO01106,Morrell House
73e9c1c2-30df-45ef-967b-9319d9a48c5f,POINT (-82.579621616999987 29.914737752000065),CO01351,Retention Walls
29fd5a71-8091-4b19-a3fb-87bae06eff6a,POINT (-82.579022653999971 29.913069048000068),CO01352,Cooks Cottage
b333d316-b3b0-4f5e-bc59-62bba78dd593,POINT (-82.580206007999948 29.913352977000045),CO01353,Handicraft Lodge
d9dfb55c-1428-4fa4-ba3e-9b2aa2786512,POINT (-82.579916164999986 29.913638142000025),CO01354,Canteen
c75082a6-3bc8-4545-84a3-6bf88aa1b424,POINT (-82.579446190999988 29.912426186000062),CO01355,Bathroom (east)
76d1cafb-ffe9-4968-a837-ca313f8a11ba,POINT (-82.580597697999963 29.912792865000029),CO01356,Bathroom (west)
c3475607-e37a-4258-92de-b097eb83a395,POINT (-82.580221686999948 29.913947071000052),CO01357,Dining Hall
56aa3721-f414-4dd8-ba91-58b123d4925f,POINT (-82.581787258999952 29.914295156000037),CO01358,Camper Cabin #1
